 INFO 23:50:23,848 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: -0 PV (Eau)
 INFO 23:50:23,849 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: 1 PM
 INFO 23:50:24,262 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Poudre (+5 Niv.)
 INFO 23:50:25,759 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Ruse
 INFO 23:50:27,167 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: n'est plus sous l'emprise de 'Fuyard'
 INFO 23:50:27,169 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Fourbe (+1 Niv.)
 INFO 23:50:27,170 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Convertit sa maîtrise distance en maîtrise mêlée
 INFO 23:50:32,103 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Coup rapide
 INFO 23:50:33,109 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Invoque un(e) Bombe Aveuglante
 INFO 23:50:33,109 [AWT-EventQueue-0] (eXG:105) - Instanciation d'une nouvelle invocation avec un id de -1724034217589173
 INFO 23:50:33,109 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Bombe Aveuglante breed : 3795 [-1724034217589173] isControlledByAI=true obstacleId : 5 join the fight at {Point3 : (-28, -27, 0)}
 INFO 23:50:33,116 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Aveuglante: Bombe aveuglante (Niv. 2)
 INFO 23:50:33,712 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PM
 INFO 23:50:33,714 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Aveuglante: Bombe aveuglante (Niv. 4)
 INFO 23:50:33,714 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PM (Trainée de poudre)
